text,label
scott disick kisses yet another woman in cannes  see the pic,0
bestdressed celebrities of the week,0
ios  brings group facetime with up to  people  new emojis to iphones  ipads,0
best hair products for beachy waves,0
how jenna dewan is feeling about her split from channing tatum,0
saturday savings selena gomezs red hot wolves top is on sale,0
cq vote studies,0
justin theroux ditches wedding ring amid jennifer aniston divorce drama,0
angry kim kardashian accuses caitlyn jenner of discrediting kris jenner in her memoir grow up,0
inside nick jonas and priyanka chopras week of wedding celebrations,0
selena gomez and her wizards of waverly place brother david henrie returned to disney for fourth of july,0
luann de lesseps proclaims i am happy one month after tom dagostino split,0
‘i am the night’ first trailer for patty jenkins’ tnt series starring chris pine,0
soul train awards  winners,0
behati prinsloo posts cheeky photo of adam levine daughter,0
bill skarsgård doing the pennywise smile without makeup is even creepier,0
the bachelorette becca kufrin is ready to say “sayonara” to arie luyendyk jr and lauren burnham,0
oped by president obama president obama reflects on the impact of title ix,0
kesha postpones spring tour dates ahead of surgery im heartbroken,0
best tv love triangles,0
how a speck of dust helped sarah silverman deal with personal loss,0
josie and the pussycats cast reunites for films sweet,0
heres the reason why the young daya looks so much like dascha polanco in orange is the new black,0
channing tatum and jenna dewan split signs of trouble,0
the cast of halloweentown reunited to celebrate debbie reynolds,0
young hugh hefner graces playboy cover in honor of the founders death,0
cindy crawford rande gerber very excited for clooney twins,0
this hidden game of thrones symbolism hints at a surprising destiny for jon and daenerys,0
hailey baldwin reveals how her dad stephen reacted to her sexy maxim cover watch,0
greys anatomy eats weed cookies  uncovers some secrets,0
halsey showcases sexy look at playboy party in vegas and hangs with diplo,0
saved by the bells markpaul gosselaar and tiffani thiessen to reunite,0
mindy kaling responds to a meme mocking her character on the office,0
jamie bell and kate mara got married at a neighbor’s home we just walked across the street,0
rob kardashian could face criminal charges after posting nude photos of blac chyna on instagram,0
lupita nyongo workouts for black panther,0
us womens figure skating olympic team set bradie tennell mirai nagasu karen chen,0
jennifer lawrence says taylor swift and karlie kloss rumored feud is keeping her up at night,0
‘law  order svu’ — brooke shields as ellie porter noah’s grandmother,0
chrissy metz thinks her emmy nomination is “the best welcomeback gift ever”,0
rob kardashian shows support for ex rita ora during ‘girls’ backlash,0
noah cyrus best beauty looks hair makeup trends photos,0
growing up supermodel,0
pregnant beyoncé celebrates easter with her family see how more stars are ringing in the holiday,0
nicole kidmans skincare tips involve sunscreen and smiles,0
robert henstridge,0
met gala  the riskiest red carpet looks of the night,0
shakira postpones el dorado world tour again amid vocal cord problems,0
chappaquiddick incident,0
jennifer aniston spotted in nyc for first time since justin theroux split,0
of the sexiest lyrics from taylor swifts reputation,0
ryan gosling and more celebrity hunks who prove scorpio season is the hottest season in hollywood,0
why allison janney is the champion of  red carpet style  parker xl,0
plan a wedding and get matched with a celebrity groom,0
fergie shows shows emotional relationship in new video,0
kim kardashian gets in the best shape of her life,0
catelynn lowell receives christmas gift from first child after leaving treatment,0
normani kordei dancing with the stars will twisted ankle injury affect dwts,0
avengers infinity war reviews highlight thanos and real sacrifices,0
dove cameron reveals her bra size on twitter saying its no secret after fans ask about cleavage,0
leeanne locken addresses fiancé rich emberlin infidelity rumors,0
how rose mcgowan became a victim of her own victimhood,0
lea michele and ashley tisdale collab,0
kristen wiig hilariously butchers ‘hallelujah’ duet with james corden video,0
wherearekatespadebagsmadewhicharefake,0
teen moms ryan edwards arrested for heroin possession,0
american crime story katrina cast plot airdate and everything you need to know,0
paris jackson shares rare childhood home video to celebrate big brother princes birthday,0
justin timberlake promises no wardrobe malfunctions at  super bowl halftime show,0
natalie negrotti miley cyrus  more stars who have come out as pansexual,0
julie bowen’s hairstylist uses the coolest leavein conditioner – celeb goss pics,0
here’s everything you need to know about the ivanka trump plastic surgery trend,0
alex rodriguez,0
real housewives of beverly hills throw shade during interview with andy cohen,0
